"id","ace_category","ace_exposure_group","sex","n","crude_or","crude_ci_low","crude_ci_high","aor","aor_ci_low","aor_ci_high","p_value"
1,"Suicidal/self-harm","0","Female",167,"","","","","","",""
2,"Suicidal/self-harm","1-2","Female",636,"1.18","0.76","1.84","1.20","0.76","1.89",""
3,"Suicidal/self-harm",">=3","Female",452,"3.31","2.13","5.15","3.58","2.29","5.60","0.001"
4,"Suicidal/self-harm","0","Male",132,"","","","","","",""
5,"Suicidal/self-harm","1-2","Male",132,"2.38","1.18","4.82","2.29","1.12","4.65","0.050"
6,"Suicidal/self-harm",">=3","Male",105,"6.94","3.59","13.43","6.59","3.41","12.73","0.001"
7,"Psych distress","0","Female",616,"","","","","","",""
8,"Psych distress","1-2","Female",1828,"2.25","1.70","2.98","2.21","1.65","2.96","0.001"
9,"Psych distress",">=3","Female",874,"5.59","3.95","7.91","5.55","3.89","7.91","0.001"
10,"Psych distress","0","Male",107,"","","","","","",""
11,"Psych distress","1-2","Male",585,"1.89","1.15","3.10","1.90","1.18","3.06","0.050"
12,"Psych distress",">=3","Male",292,"3.16","1.73","5.77","3.09","1.70","5.61","0.010"
13,"Substance use","0","Female",188,"","","","","","",""
14,"Substance use","1-2","Female",560,"1.53","0.94","2.49","1.50","0.91","2.48",""
15,"Substance use",">=3","Female",261,"1.90","1.17","3.08","1.84","1.11","3.06","0.050"
16,"Substance use","0","Male",139,"","","","","","",""
17,"Substance use","1-2","Male",582,"1.87","1.24","2.83","1.97","1.29","3.01","0.010"
18,"Substance use",">=3","Male",284,"2.49","1.56","3.99","2.68","1.69","4.25","0.001"
19,"Violence perp","0","Female",80,"","","","","","",""
20,"Violence perp","1-2","Female",586,"5.24","3.03","9.06","5.27","3.02","9.21","0.001"
21,"Violence perp",">=3","Female",421,"7.60","4.46","12.95","7.62","4.45","13.05","0.001"
22,"Violence perp","0","Male",44,"","","","","","",""
23,"Violence perp","1-2","Male",449,"4.92","2.67","9.06","5.22","2.88","9.48","0.001"
24,"Violence perp",">=3","Male",270,"7.52","3.98","14.23","8.29","4.34","15.83","0.001"
