schema,table,rows
ace_impact,ace_associations,24
ace_impact,country_costs,28
ace_impact,ace_mental_health_associations,44
ace_prevalence,ace_prevalence_by_region,24
aces_and_parenting,maternal_aces_behavioral_problems,60
aces_and_parenting,pearson_correlation_matrix,55
aces_and_parenting,regression_paths,39
public,pearson_correlation_matrix,55
public,regression_paths,39
resilience_factors,aaa_support,2
resilience_factors,outcomes,3
resilience_factors,ace_groups,2
resilience_factors,study_results,16
resilience_factors,pce_types,3
resilience_factors,ace_count,4
